Item Name;Region;Lore;DescriptionGame;DescriptionLore;ImageURL
Avarice Blade;freljord;Likely tied to a Freljordian tribe known for raiding. The blade may have been used to plunder from rival tribes or outsiders.;Grants gold upon killing a unit and increased critical strike chance.;Upon a kill, wielder gains 1d4 silver pieces. Additionally, rolls of '1' on attack dice are rerolled, once per turn.;https://wiki.leagueoflegends.com/en-us/images/Avarice_Blade_item.png
Black Mist Scythe;shadow isles;Associated with the Black Mist emanating from the Shadow Isles, potentially used by those who seek to manipulate its power.;Grants gold and vision upon damaging enemy champions with abilities or attacks. Transforms into Harrowing Crescent.;"Upon striking a foe, 1d4 temporary HP are granted, and a spectral image is revealed. Once 5 images are seen, the scythe transforms; the wielder's max HP is permanently reduced by 1.";https://wiki.leagueoflegends.com/en-us/images/Black_Mist_Scythe_item.png
Blue Pill;demacia;Commonly used by mageseekers to quickly return to base after long missions, it is associated with Demacia's infrastructure and control.;Instantly restores mana and returns the champion to their base.;"Quaffing the blue pill allows immediate return to a designated safe haven. All accumulated wounds and fatigue are miraculously healed upon arrival. However, this escape route is one-way only; the character cannot return to their departure point.";https://wiki.leagueoflegends.com/en-us/images/Blue_Pill_item.png
Brawler's Gloves;ionia;Worn by pit fighters and martial artists across Ionia, these gloves are rumored to be blessed by a forgotten spirit of perseverance.;Grants critical strike chance. Useful for champions that rely on auto attacks.;Wearer’s attacks deal +1 damage and threaten a Critical Hit on a roll of 19-20. On a critical hit, deal double damage and inflict Broken status for 1 round.;https://wiki.leagueoflegends.com/en-us/images/Brawler%27s_Gloves_item.png
Caesura;noxus;Forged in the heart of the Noxian empire, it is rumored to have been wielded by a powerful warlord during the early expansions.;Grants a shield after dashing, and increased damage based on missing health.;When the wielder is brought low, they may call upon the blade's inherent power, granting them +4 to AC for 1d4 rounds. On a hit, the blade deals +1d6 damage for each point of AC granted.;https://wiki.leagueoflegends.com/en-us/images/Caesura_item.png
Celestial Eye;targon;Said to be crafted by long-lost seers from Mount Targon, this relic enhances one's ability to perceive hidden truths and foresee future events.;Provides vision and reveals invisible units in an area. Grants bonus ability power.;Confers +2 to WIS checks related to perception and divination. Once per day, grants a glimpse of a possible future, though its accuracy is suspect (50%).;https://wiki.leagueoflegends.com/en-us/images/Celestial_Eye_item.png
Chemtech Putrifier;noxus;Favored by Noxian alchemists, it enhances plague warfare, spreading virulent concoctions among their enemies.;Grants Ability Haste and Ability Power. Imposes Grievous Wounds on enemies damaged by allies.;"Upon a successful hit: Victim tests CON or suffers -2 to future CON tests against disease for 1d4 turns; allies' attacks inflict festering wounds.";https://wiki.leagueoflegends.com/en-us/images/Chemtech_Putrifier_item.png
Cloak of Stars;targon;Said to be woven from captured starlight by the Solari, granting resilience against the night. Perhaps a relic from the Rune Wars.;Periodically damages nearby enemies. Grants bonus health and magic resistance.;Radiates dim light, 5' radius. Once per dawn, unleash a burst of searing light: 2d6 damage to undead, 1d6 to others within 10'. Grants +1 to saves vs. magic and poison.;https://wiki.leagueoflegends.com/en-us/images/Cloak_of_Stars_item.png
Crystalline Flask;freljord;Drawn from the purest glacial springs, rumored to possess restorative properties known only to ancient ice witch covens. Used by hardy explorers.;Restores health and mana over time. Refills upon visiting the shop.;Quaffing this potion restores 1d6 hit points and/or MP. Flask refills after a day of rest in a settlement. Prolonged use may attract unwanted attention from frost witches.;https://wiki.leagueoflegends.com/en-us/images/Crystalline_Flask_item.png
Deathfire Grasp;shadow isles;Associated with forgotten Shadow Isles rituals and potent, but corrupting magic, the Deathfire Grasp was a tool for amplifying dark sorcery.;Greatly increased the wielder's magic damage for a short duration, amplifying burst potential.;Once per day, inflict +3 damage with a magic attack. The wielder ages 1d4 months and is one step closer to the Shadow Isles.;https://wiki.leagueoflegends.com/en-us/images/Deathfire_Grasp_item.png
Devourer;shadow isles;Implies a connection to consuming souls or life force, potentially linked to Mordekaiser or Thresh's artifacts.;On-hit damage that scales with takedowns, granting bonus magic damage.;Creature gains +1 to hit and damage for each soul devoured. Upon death, all devoured souls are released as specters.;https://wiki.leagueoflegends.com/en-us/images/Devourer_item.png
Doran's Lost Ring;ionia;Crafted by a forgotten order of Ionian mages, rumored to enhance the user's connection to the spirit realm and the magic within.;Grants ability power, health, and mana regeneration. Provides additional damage against minions.;Wearer gains +1 to magic-user rolls. Once per day, regain 1d4 lost spell slots. However, spirits now whisper erroneous secrets in the wearer's ears.;https://wiki.leagueoflegends.com/en-us/images/Doran%27s_Lost_Ring_item.png
Edge of Finality;ionia;The Edge of Finality hums with the echoes of spirit realm blades. Perfected by Ionian weapon masters.;Grants AD, lethality and a spell shield when at low health, increasing damage.;Bestows +3 to hit and damage. When HP is at 2 or less, gain invulnerability for 1 round and deal double damage on the next attack.;https://wiki.leagueoflegends.com/en-us/images/Edge_of_Finality_item.png
Elixir of Fortitude;noxus;Favored by Noxian gladiators, the elixir is rumored to grant temporary invincibility, emboldening warriors before entering the arena.;Grants temporary HP, size, and strength.;Quaffing it bestows +2 to hit and damage for 5 turns, while doubling HP. Upon expiration, fumble die rolls are penalized with -1 until rest.;https://wiki.leagueoflegends.com/en-us/images/Elixir_of_Fortitude_item.png
Equinox;targon;The Equinox is likely connected to the celestial bodies watched over by the Solari and Lunari of Mount Targon.;Deals damage to nearby enemies and reduces damage taken for a short duration after immobilizing an enemy champion.;Upon a foe's binding, nearby entities suffer 1d6 radiant damage. For the next turn, the wielder's armor class is improved by 2.;https://wiki.leagueoflegends.com/en-us/images/Equinox_item.png
Eye of Ascension;shurima;Implies a connection to ascended beings of Shurima, suggesting potential for transformation or enhanced power linked to the sun disc.;Grants increased vision range, mana regeneration, and cooldown reduction to nearby allies.;"Caster sees further; recovers mana as if drinking plentifully from a spring. Allies nearby act with greater speed and are less weary (reduce encumbrance category by 1). Grants +1 on saves versus charm effects.";https://wiki.leagueoflegends.com/en-us/images/Eye_of_Ascension_item.png
Eye of the Equinox;targon;Associated with the Solari, forging light into a protective ward. Perhaps a relic from a forgotten age on Mount Targon.;Provides health, mana regeneration, and cooldown reduction. Grants an active shield to protect allies.;Grants +1 AC. Once per day, emit a burst of light, granting all allies within 30' +1 AC for 1d4 rounds. Undead within range suffer disadvantage on attack rolls.;https://wiki.leagueoflegends.com/en-us/images/Eye_of_the_Equinox_item.png
Face of the Mountain;targon;Forged on Targon, this item likely has connections to the Solari or the Rakkor, embodying protection and resilience.;Grants a shield to an ally and executes minions. Nearby allies heal for a percentage of damage taken.;Grants the wearer the ability to interpose before an ally, suffering blows in their stead. Additionally, when near death, the item may revitalize companions with transferred vitality.;https://wiki.leagueoflegends.com/en-us/images/Face_of_the_Mountain_item.png
Flicker;ionia;Whispers say the Flicker was crafted by a forgotten order in Ionia, tied to the spirit realm and rapid translocation.;Briefly grants invulnerability and a short-range teleport.;Wearer vanishes in a puff of light, reappearing nearby. Save versus magic or attract unwanted attention from spirits. Grants +1 AC briefly after use.;https://wiki.leagueoflegends.com/en-us/images/Flicker_item.png
Frost Queen's Claim;freljord;May be related to Lissandra or another Ice Witch. Grants ghostly apparitions and slows foes.;Generates gold and mana regen. Active creates icy ghosts that seek enemies and slow them.;Upon utterance of the item's name, two incorporeal spectres are released to do the bidding of the wielder, chilling foes in their grasp and slowing them to a crawl. Lasts 1d4 rounds.;https://wiki.leagueoflegends.com/en-us/images/Frost_Queen%27s_Claim_item.png
Frozen Fist;freljord;May be associated with Iceborn, wielding frozen power. Perhaps wielded by Lissandra's loyal followers or ancient Frostguard warriors.;Empowers auto attacks with an ice field that slows enemies and deals bonus damage.;"On hit, target must save vs. frost or be slowed for 1 round. Once per day, wielder can unleash a blast of frost dealing 1d6 cold damage in a 10ft cone; save vs. cold for half.";https://wiki.leagueoflegends.com/en-us/images/Frozen_Fist_item.png
Glacial Shroud;freljord;Forged in the icy heart of the Freljord, it whispers tales of ancient frost giants and forgotten winters.;Provides armor, mana, and cooldown reduction. Passively slows nearby enemies after using an ability.;Grants +2 AC. After casting a spell, enemies within 10' must save vs. paralysis or be slowed (half movement) for 1 round. ;https://wiki.leagueoflegends.com/en-us/images/Glacial_Shroud_item.png
Greater Stealth Totem;ionia;Favored by Ionian monks seeking enlightenment through secluded meditation and observation of the spirit realm.;Places a temporary invisible ward that reveals the surrounding area for a duration.;Grants brief invisibility and +4 to spotting hidden foes. Ward lasts 6 turns, revealing invisible creatures and traps within 30'. Save vs. magic or attract unwanted attention from spirits.;https://wiki.leagueoflegends.com/en-us/images/Greater_Stealth_Totem_item.png
Hailblade;freljord;Forged in the icy heart of the Freljord, rumored to be imbued with the spirits of ancient frost mages, forever seeking worthy warriors.;Empowers jungling with bonus damage to monsters and grants bonus gold. Chilling Smite slows enemy champions.;Inflicts 1d4 frost damage to beasts and grants +1 gold. A successful hit requires a DC 13 CON save or target suffers -2 to movement speed for 1 round.;https://wiki.leagueoflegends.com/en-us/images/Hailblade_item.png
Heart of Gold;bilgewater;Rumored to be recovered from a Sunken Temple of Nagakabouros, favored by fortune hunters and those seeking quick riches in the port cities.;Grants bonus health and provides bonus gold per 10 seconds. Upon death, the item is lost.;Wearer gains +1 HP. Every turn, roll 1d6. On a 6, gain 1 gold. If the wearer is reduced to 0 HP, the item crumbles to dust, and is lost.;https://wiki.leagueoflegends.com/en-us/images/Heart_of_Gold_item.png
Hex Core mk-2;noxus;Associated with Viktor and the Glorious Evolution, enhancing the user's mechanical capabilities. Commonly seen among Zaun's techmaturge.;Provides ability power, mana, and health. Can be upgraded into higher tier Hex Cores.;Grants +1 to hit with any mechanical device. User must save vs. magic or be compelled to 'improve' self with further modifications. Chance for mechanical limb failure.;https://wiki.leagueoflegends.com/en-us/images/Hex_Core_mk-2_item.png
Hextech Revolver;noxus;Associated with early Noxian artificers, seeking to weaponize magic for the empire's expansion. Could be related to Mordekaiser's research.;Grants magic damage and an on-hit damage effect that heals the user.;On a hit, deal +1d4 magic damage, and heal 1hp. Rolls of 1 on the d4 cause a magical feedback dealing 1 damage to the user.;https://wiki.leagueoflegends.com/en-us/images/Hextech_Revolver_item.png
Hunter's Potion;freljord;Likely used by foragers and hunters of the Freljord seeking to survive the harsh wilderness and monster encounters.;Restores health and mana over time while hunting monsters in the jungle.;Quaffing this potion heals 5 hit points per turn for 8 turns. Additionally, regain 1 spell slot if exhausted after the healing completes. Effects are negated by engaging in combat with other humanoids.;https://wiki.leagueoflegends.com/en-us/images/Hunter%27s_Potion_item.png
Ichor of Rage;noxus;A draught favored by the Reckoners, rumored to be distilled from the blood of fallen gladiators. Enhances aggression and power.;On takedown, grants bonus attack damage, magic damage and movement speed for a short duration.;Drink grants +2 to hit and damage rolls for 1d4 rounds. Afterwards, make a DC15 CON save or be overcome with exhaustion (-2 to all rolls) for 2d6 turns.;https://wiki.leagueoflegends.com/en-us/images/Ichor_of_Rage_item.png
Ionic Spark;ionia;Forged by a forgotten Ionian sect, the Ionic Spark was used to defend against shadow magic. Now, only echoes of its power remain.;Deals chain lightning damage to nearby enemies.;Creature touched by spark must save vs. electricity or be stunned for 1 round. Nearby creatures have a 1 in 6 chance to be struck by chain lightning for 1d6 damage.;https://wiki.leagueoflegends.com/en-us/images/Ionic_Spark_item.png
Kage's Lucky Pick;bilgewater;Favored by fortune tellers and gamblers across Bilgewater, believing it brought them luck in their ventures.;Grants ability power and bonus gold per 10 seconds.;Bestow +1 on all luck checks. Anytime a '1' is rolled on a check, a ghostly visage appears, whispering secrets of upcoming trials for 1 round.;https://wiki.leagueoflegends.com/en-us/images/Kage%27s_Lucky_Pick_item.png
Kitae's Bloodrazor;ionia;Forged in Ionia, rumored to enhance the life-stealing abilities of those who wield it, possibly tied to ancient Hemomancy practices.;On-hit, deals bonus magic damage equal to a percentage of the target's maximum health.;Creatures struck must SAVE vs. DEATH or suffer 1d4 permanent HP drain. The wielder heals the HP drained. Undead are immune.;https://wiki.leagueoflegends.com/en-us/images/Kitae%27s_Bloodrazor_item.png
Leeching Leer;noxus;Whispers claim it was forged in the Immortal Bastion, fueled by hemomancy. Its previous owners met gruesome ends, their life essence drained.;Damaging champions heals the wielder. Periodically deals damage to nearby enemies.;Heals 1d6 HP per round when near the dying. Adjacent foes suffer 1d4 damage (save vs. Death Ray). Wielder slowly becomes a ghoul.;https://wiki.leagueoflegends.com/en-us/images/Leeching_Leer_item.png
Legendary Marksman Item;demacia;Favored by Demacian rangers, this item enhances precision. Used by elite trackers.;Increased attack damage and critical strike chance. Grants bonus movement speed.;Ranger gains +1 to hit rolls at long range. On a critical hit, target must save vs. paralysis or be rooted for 1 round.;https://wiki.leagueoflegends.com/en-us/images/Legendary_Marksman_Item_item.png
Leviathan;bilgewater;Favored by captains and sea monsters alike, the Leviathan was a sign of dominance on the high seas, often adorned with trophies.;Grants health based on kills and assists, lost upon death. Maximum of 30 stacks.;Wearer gains +1 max HP per foe vanquished (max 30). On death, lose 1d6 HP permanently. While at max stacks, attract the attention of krakens. Beware!;https://wiki.leagueoflegends.com/en-us/images/Leviathan_%28old%29_item.png
Lifewell Pendant;targon;Said to be blessed by the celestial entities of Targon, offering protection against the harshest conditions.;Grants health regeneration and increased maximum health, enhancing survivability.;Wearer gains +1 to saves vs. death. Once per day, when reduced to 0 hit points, wearer is instead restored to 1d4 hit points.;https://wiki.leagueoflegends.com/en-us/images/Lifewell_Pendant_item.png
Lord Dominik's Regards;demacia;Crafted by the legendary smith, Dominik, it is said to be blessed by the sun, allowing the wielder to pierce even the mightiest armor.;Grants armor penetration and bonus damage against champions with more health.;Attacks ignore AC, doing +1 damage per HD above the wielder (max +6). Undead & shadow creatures suffer double damage.;https://wiki.leagueoflegends.com/en-us/images/Lord_Dominik%27s_Regards_item.png
Luden's Echo;ionia;Resonates with the ancient magic of Ionia, amplifying the wearer's spells, reminiscent of a powerful echo mage.;Grants ability power, mana, and movement speed. Damaging abilities grant charges, releasing chain lightning on the next hit.;Once per turn, after casting a spell, release a forking bolt of lightning dealing 1d6 damage for every 2 levels. Range: 30ft. Save vs. Magic to halve damage.;https://wiki.leagueoflegends.com/en-us/images/Luden%27s_Echo_%283286%29_item.png
Madred's Bloodrazor;noxus;Associated with a Noxian artificer who sought to weaponize hemomancy. The item was lost after an experiment went awry.;Deals bonus magic damage equal to a percentage of the target's maximum health on hit.;On a hit, the wielder siphons a portion of the target's life force dealing extra damage. The target must test against its Constitution or lose 1 point permanently.;https://wiki.leagueoflegends.com/en-us/images/Madred%27s_Bloodrazor_item.png
Malady;shadow isles;Whispers say it was crafted in the Shadow Isles, fueled by tormented spirits, twisting minds and bodies alike. It is associated with corruption.;Dealing magic damage applies magic resist shred, reducing enemy defenses over time.;Curse: On a hit, victim saves vs. Wisdom or suffers -1 to AC vs. magic and -1 to saves vs. spells for 1d4 rounds. Cumulative.;https://wiki.leagueoflegends.com/en-us/images/Malady_item.png
Mandrake Ward;shadow isles;Likely originating from the Shadow Isles, the Mandrake Ward could be associated with necromantic magic or entities manipulating perception and fear.;Reveals a target area, warning of approaching enemies, but disappears after use or after a duration.;Upon planting, the ward emits a psychic shriek audible only to creatures of ill intent within 30ft, imposing disadvantage on surprise attacks for creatures entering the area, fades after 1d4 turns.;https://wiki.leagueoflegends.com/en-us/images/Mandrake_Ward_item.png
Maw of Malmortius;noxus;Whispers speak of a pact made with dark entities, granting strength but risking demonic influence, potentially linked to Mordekaiser's dominion.;Grants bonus AD, magic resist, and a shield when taking magic damage that would reduce the champion below a certain health threshold.;The bearer gains +3 to hit and damage rolls, and resists spells, but risks possession by a demon (save vs. magic or lose control!) upon taking lethal magic damage. Shield 1d6 damage.;https://wiki.leagueoflegends.com/en-us/images/Maw_of_Malmortius_item.png
Mercurial Scimitar;bilgewater;Favored by captains navigating treacherous seas, it offers protection against curses and shadowy entities, common in the waters around Bilgewater.;Grants attack damage, magic resist, and a cleanse effect to remove crowd control.;Grants +2 to saves versus spells and paralysis. Once per day, may automatically break free from magical restraints or enchantments, as if by a Wish spell.;https://wiki.leagueoflegends.com/en-us/images/Mercurial_Scimitar_item.png
Mirage Blade;ionia;Forged by Ionian spiritwalkers, its illusions confuse foes, reminiscent of the trickster spirits of the forests, reflecting Ionian adaptability and misdirection.;On dealing damage, grants bonus move speed and creates a temporary, untargetable illusion near you.;"Grants fleeting passage (2 in 6 chance) through enemy lines after striking; a duplicate appears at the point of attack, attracting a single blow before vanishing. Roll 1d6; on a roll of 1 or 2, the player is briefly incorporeal.";https://wiki.leagueoflegends.com/en-us/images/Mirage_Blade_item.png
Moonstone Renewer;targon;Said to be blessed by the celestial light of Targon, channeling the moon's restorative energies to aid allies in need.;Heals nearby allies when in combat, with the healing increasing over time.;Grants the wearer the ability to mend grievous wounds of those nearby. Each round, the mending becomes more potent. Chance for mended wounds to leave shimmering scars.;https://wiki.leagueoflegends.com/en-us/images/Moonstone_Renewer_item.png
Murksphere;shadow isles;Whispers say Murksphere was used by a forgotten order in the Shadow Isles to contain malevolent spirits.;Deals magic damage and briefly grants movement speed when damaging an enemy champion.;Once per day, cast *Spirit Leech*. The target must SAVE vs. Magic or take 1d6 damage and you gain +1 to SPEED for 1 turn.;https://wiki.leagueoflegends.com/en-us/images/Murksphere_item.png
Night Harvester;shadow isles;Said to be forged in the heart of the Shadow Isles, it pulses with the essence of tormented spirits, granting power at a terrible price.;Grants bonus damage and movement speed on champion hit, with a cooldown and stacking mechanic.;Creature gains +1 to hit and damage. Upon striking a foe, creature must SAVE vs WIL or be compelled to move towards their target, even if unwise.;https://wiki.leagueoflegends.com/en-us/images/Night_Harvester_item.png
Noonquiver;freljord;Favored by frost archers of the Freljord, Noonquiver aids in hunting massive beasts across the frozen tundra.;Grants increased attack damage and attack speed. Passively deals bonus damage to minions and monsters.;On a hit, deal +1d6 damage vs large or huge foes. Shots fired in dim light gain advantage. Spend 1 round to recover 1d4 arrows.;https://wiki.leagueoflegends.com/en-us/images/Noonquiver_item.png
Opportunity;noxus;Favored by Noxian assassins, it allows for swift strikes and ruthless efficiency in eliminating high-value targets.;Grants bonus movement speed after damaging an enemy champion. Subsequent damage deals increased damage.;The user gains +2 to initiative. First successful attack deals +1d6 damage. Afterwards, the user must SAVE vs. WIS (DC 13) or be stunned 1 round by bloodlust.;https://wiki.leagueoflegends.com/en-us/images/Opportunity_item.png
Oracle's Lens;targon;Favored by those who seek hidden truths on Mount Targon. Used by the guides that explore the mountain's treacherous paths.;Temporarily reveals and disables nearby enemy wards and reveals hidden enemy traps.;As an action, see invisible creatures and objects within 90'. The effect lasts for 1 turn, and recharges after 1d4 turns. Invisible objects and creatures are not surprised.;https://wiki.leagueoflegends.com/en-us/images/Oracle%27s_Lens_item.png
Phantom Dancer;ionia;Favored by duelists and those who value agility, the Phantom Dancer is often associated with Ionian martial traditions.;Grants attack speed, critical strike chance, and movement speed. Provides a shield when near death.;The wearer moves with unnatural speed (+2 to initiative). On taking a fatal blow, a spectral shield appears, negating the damage and allowing the wearer to flee (teleport 30'). Usable once per day.;https://wiki.leagueoflegends.com/en-us/images/Phantom_Dancer_item.png
Pickaxe;freljord;Dwarven smiths in the Freljord use enchanted pickaxes to mine True Ice, the only substance capable of forging weapons strong enough to kill a god.;Grants additional attack damage, increasing the wielder's damage output.;Upon striking stone, a roll of 1-3 on a d6 results in uncovering a secret passage. A roll of 4-6 causes the stone to crumble, collapsing the tunnel in 1d4 turns.;https://wiki.leagueoflegends.com/en-us/images/Pickaxe_item.png
Plated Steelcaps;demacia;Favored by Demacian soldiers, these boots offer protection against both physical blows and magical assaults.;Reduces incoming damage from basic attacks and increases armor.;Wearer suffers -2 to reaction rolls from loud clanking. Grants +1 AC against metal weapons and reduces damage from blunt weapons by 1 hp. If wearer is struck by magic, they are 20% likely to ignore it.;https://wiki.leagueoflegends.com/en-us/images/Plated_Steelcaps_item.png
Port Pad;bilgewater;Favored by resourceful captains and cunning merchants to quickly redeploy ships and crews, or escape from dangerous waters.;Places a targetable teleport pad. Allies can use it to teleport to other pads after a short channel.;Creates a temporary magical portal. A second pad must be placed for it to function, allowing near instantaneous travel between the two points.;https://wiki.leagueoflegends.com/en-us/images/Port_Pad_item.png
Prospector's Ring;shurima;Likely used by early explorers of Shurima, seeking hidden tombs and resources beneath the sands. Perhaps belonging to a member of the Ascended.;Grants bonus gold when near enemy structures. Reveals nearby wards.;User can sense the presence of precious metals and gems within 30', and detect magical wards. Roll Wisdom to locate, failure means a false reading.;https://wiki.leagueoflegends.com/en-us/images/Prospector%27s_Ring_item.png
Rapid Firecannon;ionia;Favored by Ionian archers seeking to strike with precision and speed, enhancing their ranged attacks.;Grants Energized attacks, providing bonus range and magic damage on the next attack.;Once per turn, +5 to hit with ranged weapons. If attack hits, deal +1d6 lightning damage and push target 5ft away.;https://wiki.leagueoflegends.com/en-us/images/Rapid_Firecannon_item.png
Rejuvenation Potion;ionia;Often found near spirit blossom festivals, rumored to contain essence from the spirit realm enhancing vitality.;Restores health over time. A simple and reliable sustain option.;Drinking restores 1d6 hit points per round for 10 rounds. If undead, suffer 1d4 damage per round for 5 rounds, then must save versus poison or be turned.;https://wiki.leagueoflegends.com/en-us/images/Rejuvenation_Potion_item.png
Remnant of the Aspect;targon;Associated with the Solari, celestial power is imbued within. Grants its user some of this godly strength.;Provides mana regeneration, ability haste, and bonus health to the wielder and nearby allies.;A character with this remnant regenerates MP at double rate, gains +1 AC. Once per day, heal all allies within 30' for 1d8 hit points.;https://wiki.leagueoflegends.com/en-us/images/Remnant_of_the_Aspect_item.png
Reverberation;ionia;Enhances the wearer's spells, perhaps linked to ancient Ionian spirit magic or forgotten techniques.;Periodically deals bonus magic damage to nearby enemies upon dealing ability damage.;Once per turn, after casting a spell, unleash a blast of pure energy. Deals 1d6 force damage to all creatures within 10ft. Save vs. spell or be stunned for 1 round.;https://wiki.leagueoflegends.com/en-us/images/Reverberation_item.png
Rite of Ruin;noxus;Likely crafted by a hemomancer of Noxus, possibly connected to the Black Rose or Vladimir, focusing on blood magic.;Deals magic damage and heals the wielder. Damage increases based on bonus health.;Expend HP to deal arcane damage. Target creature bleeds for 1d4 rounds taking 1hp per round and healing the wielder for that amount.;https://wiki.leagueoflegends.com/en-us/images/Rite_of_Ruin_item.png
Runeglaive;ionia;Enchanted blade, imbued with spirit magic. Associated with Ionian monks seeking balance and harmony through martial prowess and arcane study.;Converts basic attack damage into magic damage on hit. Grants mana sustain and AoE magic damage.;On a hit, deal +1d6 magic damage. Regain 1 mana on successful attack. The first foe struck unleashes an arcane pulse dealing 1d4 magic damage to any nearby.;https://wiki.leagueoflegends.com/en-us/images/Magus_item.png
Runic Compass;freljord;The compass may be related to ancient Freljordian navigation techniques or a relic of a lost tribe, possibly connected with Lissandra.;Grants gold and mana regeneration based on proximity to an ally. Transforms into a different item after earning gold.;While near another, the wielder never lacks for coin or spell. Once enough wealth is gathered the compass leads to a place of power, upgrading the user. Chance of attracting unwanted attention.;https://wiki.leagueoflegends.com/en-us/images/Runic_Compass_item.png
Salvation;targon;Whispers say it was crafted by an ascetic order devoted to the stars, seeking to emulate celestial benevolence.;Provides a shield to allies who are nearby when you cast your ultimate.;"Once per dawn, touch a grievously wounded ally to grant them temporary invulnerability. The savior suffers half the damage themselves; save versus death or be destroyed.";https://wiki.leagueoflegends.com/en-us/images/Salvation_item.png
Scorchclaw Pup;freljord;The pup's fiery claws hint at a connection to the volcanic vents deep within the Freljord. Perhaps it is related to a forgotten fire god.;Deals bonus damage on next attack and applies a slow.;Next melee attack deals +1d6 fire damage and target suffers -2 to DEX saves for 1 round. Save vs. paralysis or be rooted to the spot.;https://wiki.leagueoflegends.com/en-us/images/Scorchclaw_Pup_item.png
Seat of Command;noxus;Favored by Noxian admirals and generals, it represents strategic authority and martial strength, often seen in command tents or on flagships.;Grants bonus health, ability haste, and an active effect to boost nearby ally damage.;Once per day, issue a Command. Allies within earshot gain +1 to hit and damage rolls for 1d4 rounds. Undead and constructs are immune.;https://wiki.leagueoflegends.com/en-us/images/Seat_of_Command_item.png
Serpent's Fang;noxus;Favored by Noxian assassins, its design whispers of a tool crafted to dismantle Demacian battlemages' protective enchantments.;Deals bonus damage to enemy shields. Reduces enemy shield effectiveness for a short duration.;On hit, any magical warding is weakened, negating 2d6 points of protection and making the target easier to curse. May attract the attention of shieldmages.;https://wiki.leagueoflegends.com/en-us/images/Serpent%27s_Fang_item.png
Shattered Armguard;noxus;Forged in Noxus, rumored to have belonged to a disgraced warlord, its magic offers resilience, but at a cost.;Grants ability power and armor, but reduces damage dealt as health decreases.;Wearer gains +2 to AC and +1 to magical attacks. As HP decreases, attacks deal -1 damage per 10% HP lost. Upon reaching 0 HP, the armguard shatters, dealing 1d6 magical damage to all within 5ft.;https://wiki.leagueoflegends.com/en-us/images/Shattered_Armguard_item.png
Shurelya's Requiem;targon;Said to amplify the will of the wielder, Shurelya's Requiem is rumored to originate from the Solari during a time of great need.;Grants movement speed and empowers allies with bonus damage on their attacks for a short duration.;Blast the Requiem. Allies within 30' move with haste, attacks deal +1 damage. Save vs. Spells or be stunned for 1 round after the effect ends due to psychic overload.;https://wiki.leagueoflegends.com/en-us/images/Shurelya%27s_Requiem_item.png
Sightstone;targon;Forged atop Mount Targon, Sightstones are imbued with celestial energy, granting vision where the mortal eye cannot perceive.;Periodically grants wards to place on the map, providing vision in a designated area for a limited time.;"Functions as a spyglass revealing hidden threats and secret passages. User can cast 'clairvoyance' once per day; revealing a distant location on the map to the party, or can cast 'detect invisible' in a 30' radius. ";https://wiki.leagueoflegends.com/en-us/images/Sightstone_item.png
Slightly Magical Boots;ionia;Whispers say a hedge wizard in Ionia enchants boots for nimble students, granting bursts of speed. Perhaps a connection to the Kinkou Order?;Slightly increased movement speed. Reduces the cost of upgraded boots.;Wearer moves +10' per round. On a DEX save of 11+, boots reduce material cost of magical upgrades by 25% due to inherent enchantment.;https://wiki.leagueoflegends.com/en-us/images/Slightly_Magical_Boots_item.png
Soul Anchor;shadow isles;Bound to restless spirits, it echoes the Shadow Isles' sorrow, perhaps linked to the Ruination or lost souls seeking solace.;Periodically grants a shield when near allies taking damage, then heals based on damage prevented.;Grants ephemeral protection to nearby allies, siphoning their injuries. Upon shield break, the wielder is revitalized by the transferred life force. Save versus Death at zero HP or become a shade.;https://wiki.leagueoflegends.com/en-us/images/Soul_Anchor_item.png
Spectral Sickle;shadow isles;Associated with restless spirits and the magic of the Shadow Isles, potentially used to siphon life force or manipulate spectral energies.;Grants gold and vision when damaging enemy champions. Transforms into Harrowing Crescent upon quest completion.;Upon striking a foe, the wielder leeches 1d4 HP, granting temporary sight beyond the veil. Upon leeching a total of 100 HP, it becomes the Harrowing Crescent, permanently granting the ability to see invisible foes.;https://wiki.leagueoflegends.com/en-us/images/Spectral_Sickle_item.png
Spellthief's Edge;freljord;Favored by those who siphon power from the weak, it may be associated with Lisandra's frostguard, or potentially even a tribe using dark ice.;Grants bonus damage and gold on damaging spells and attacks against enemy champions. Disables gold generation when excessive CSing occurs.;Upon striking a foe, siphon their life force, gaining temporary vigor (+1 to hit) and wealth (1d6 cp). If you attack a minion or other creature beneath your notice, the edge dulls, and the effect ceases for 1 turn.;https://wiki.leagueoflegends.com/en-us/images/Spellthief%27s_Edge_item.png
Spirit Visage;ionia;Associated with ancient Ionian monasteries, enhancing spiritual resilience and healing practices. Monks often use it to meditate and enhance their natural Ki.;Increases magic resist, health, and healing received. Boosts regeneration and shield effectiveness.;Wearer gains +2 on saves versus spells and doubles HP restored from any magical or medicinal source. Additionally, grants a +1 bonus to Wisdom checks related to healing or spiritual insight.;https://wiki.leagueoflegends.com/en-us/images/Spirit_Visage_item.png
